timestamp,event,vehicle_id,vehicle_type,approach_edge,eta_seconds,speed,waiting_time_sec,duration_sec,reason
2026-06-25T21:06:47.386,DETECTED,bus_0,bus_type,-834140092,14.37,13.87,,,
2026-06-25T21:07:45.013,PASSED,bus_0,bus_type,-174904016,,13.83,19.00,,
